,"(0,1)","(0,2)","(0,3)","(1,2)","(1,3)","(2,3)"
c_a,0.0,0.0,0.0,0.0,0.0,0.0
c_d,0.0,0.061,0.0,0.028,0.0,0.001
c_m,0.696,0.572,0.967,0.965,0.778,0.262
dmax,0.958,0.935,0.995,0.619,0.792,0.894
dmin,1.0,0.796,0.959,0.786,0.937,0.88
mmax,0.971,0.914,0.99,0.838,0.91,0.909
mmin,0.003,0.558,0.465,0.063,0.06,0.956
eta1,0.0,0.949,0.133,0.0,0.0,0.575
eta2,1.0,0.859,0.981,0.697,0.872,0.877
eta3,1.0,0.777,0.84,0.813,0.714,0.004
